0,1,2,3,4
BS-2019-0278,컨테이너선 에이에스로미나 선원부상사건,안전사고,"10,000~20,000톤미만",화물선
BS-2019-0279,양식장관리선 제303송은호 기타사건,기타,5~10톤미만,어선
BS-2019-0280,어선 태희호 기관손상사건,추진축계손상,1~2톤미만,어선
BS-2019-0281,낚시어선 골드호 기관손상사건,기관손상,3~5톤미만,어선
BS-2019-0282,석유제품운반선 동화3호 해양오염사건,해양오염,20~25톤미만,유조선
BS-2019-0283,어선 제9대영호 좌초사건,좌초,30~50톤미만,어선
BS-2019-0284,일반화물선 리치아너호 해양오염사건,해양오염,"1,000~5,000톤미만",화물선
BS-2019-0285,컨테이너선 엔와이케이 이사벨호 선원사망사건,안전사고,"20,000~50,000톤미만",화물선
BS-2019-0286,어선 하영호 부유물감김사건,부유물감김,5~10톤미만,어선
BS-2019-0287,어선 대동2호 좌초사건,좌초,3~5톤미만,어선
BS-2019-0288,석유제품운반선 지아롱스피릿 해양오염사건,해양오염,"50,000~100,000톤미만",유조선
BS-2019-0289,모터보트 빈탕호 기관손상사건,기관손상,3~5톤미만,수상레저기구
BS-2019-0290,낚시어선 정덕호 기관손상사건,기관손상,2~3톤미만,어선
BS-2019-0291,낚시어선 광명호 낚시어선 뉴태양호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0291,낚시어선 광명호 낚시어선 뉴태양호 기관손상사건,기관손상,5~10톤미만,어선
BS-2019-0292,모터보트 포세이돈호 기관손상사건,기관손상,2~3톤미만,수상레저기구
BS-2019-0293,산적화물선 울트라알파 · 석유제품운반선 씨에스썸머 충돌사건,충돌,"20,000~50,000톤미만",화물선
BS-2019-0293,산적화물선 울트라알파 · 석유제품운반선 씨에스썸머 충돌사건,충돌,"5,000~10,000톤미만",유조선
BS-2019-0294,석유제품운반선 명륜호 해양오염사건,해양오염,100~500톤미만,유조선
BS-2019-0295,기타선 태화7호 화재사건,화재,10~15톤미만,기타선
BS-2019-0296,어선 태양호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0298,낚시어선 태강호 추진축계손상사건,추진축계손상,3~5톤미만,어선
BS-2019-0299,어선 진양호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0300,모터보트 슈퍼벨로체호 기관손상사건,기관손상,1톤미만,수상레저기구
BS-2019-0301,낚시어선 해경호 침수사건,침수,5~10톤미만,어선
BS-2019-0303,어선 상호호 부유물감김사건,부유물감김,1톤미만,어선
BS-2019-0304,어선 하나호 추진축계손상사건,추진축계손상,5~10톤미만,어선
BS-2019-0305,어선 제2017태민호 추진축계손상사건,추진축계손상,50~100톤미만,어선
BS-2019-0306,어선 제208정원호 기관손상사건,기관손상,25~30톤미만,어선
BS-2019-0307,자동차운반선 플래티넘레이 화재사건,화재,"50,000~100,000톤미만",화물선
BS-2019-0308,어선 나이스호·어선 나라호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0308,어선 나이스호·어선 나라호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0309,어선 무궁화호·어선 성훈2호 충돌사건,충돌,5~10톤미만,어선
BS-2019-0309,어선 무궁화호·어선 성훈2호 충돌사건,충돌,2~3톤미만,어선
BS-2019-0310,낚시어선 마이웨이호 침수사건,침수,3~5톤미만,어선
BS-2019-0311,양식장관리선 덕양호 등 3척 화재사건,화재,5~10톤미만,어선
BS-2019-0311,양식장관리선 덕양호 등 3척 화재사건,화재,3~5톤미만,어선
BS-2019-0311,양식장관리선 덕양호 등 3척 화재사건,화재,1~2톤미만,수상레저기구
BS-2019-0312,예선 금창303호의 피예인부선 동성3001호 웅천대교 접촉사건,접촉,30~50톤미만,예인선
BS-2019-0312,예선 금창303호의 피예인부선 동성3001호 웅천대교 접촉사건,접촉,"500~1,000톤미만",기타선
BS-2019-0313,어선 경성호 기관손상사건,기관손상,1~2톤미만,어선
BS-2019-0314,모터보트 태공호 운항저해사건,운항저해,1~2톤미만,수상레저기구
BS-2019-0315,모터보트 청호 추진축계손상사건,추진축계손상,2~3톤미만,수상레저기구
BS-2019-0316,낚시어선 제3해림호 부유물감김사건,부유물감김,3~5톤미만,어선
BS-2019-0319,어선 보성호 · 어선 진성호 충돌사건,충돌,2~3톤미만,어선
BS-2019-0319,어선 보성호 · 어선 진성호 충돌사건,충돌,1톤미만,어선
BS-2019-0320,세일링요트 사브리나호 부유물감김사건,부유물감김,3~5톤미만,수상레저기구
